tv_show,season,episode,title,rating,votes,release_date
The Crown,1,9,Assassins,9.0,6434,2016-11-04
The Crown,1,10,Gloriana,8.5,5170,2016-11-04
The Crown,2,1,Misadventure,8.1,4806,2017-12-08
The Crown,2,2,A Company of Men,8.1,4645,2017-12-08
The Crown,2,3,Lisbon,8.3,4578,2017-12-08
The Crown,2,4,Beryl,8.5,5233,2017-12-08
The Crown,2,5,Marionettes,8.9,5246,2017-12-08
The Crown,2,6,Vergangenheit,9.1,5677,2017-12-08
The Crown,2,7,Matrimonium,8.1,4552,2017-12-08
The Crown,2,8,Dear Mrs. Kennedy,9.1,6015,2017-12-08
The Crown,2,9,Paterfamilias,8.7,5363,2017-12-08
The Crown,2,10,Mystery Man,8.3,4472,2017-12-08
The Crown,3,1,Olding,7.9,5328,2019-11-17
The Crown,3,2,Margaretology,8.4,5056,2019-11-17
The Crown,3,3,Aberfan,9.3,7631,2019-11-17
The Crown,3,4,Bubbikins,8.6,5307,2019-11-17
The Crown,3,5,Coup,8.0,4579,2019-11-17
The Crown,3,6,Tywysog Cymru,9.1,6330,2019-11-17
The Crown,3,7,Moondust,8.1,5229,2019-11-17
The Crown,3,8,Dangling Man,8.1,4291,2019-11-17
The Crown,3,9,Imbroglio,8.0,3962,2019-11-17
The Crown,3,10,Cri de Coeur,8.2,4162,2019-11-17
The Crown,4,1,Gold Stick,8.4,4732,2020-11-15
The Crown,4,2,The Balmoral Test,8.6,4672,2020-11-15
The Crown,4,3,Fairytale,8.7,4600,2020-11-15
The Crown,4,4,Favourites,8.2,4210,2020-11-15
The Crown,4,5,Fagan,8.5,4538,2020-11-15
The Crown,4,6,Terra Nullius,8.8,4581,2020-11-15
The Crown,4,7,The Hereditary Principle,8.2,4127,2020-11-15
The Crown,4,8,48:1,8.5,4026,2020-11-15
The Crown,4,9,Avalanche,8.2,3766,2020-11-15
The Crown,4,10,War,8.7,4136,2020-11-15
The Crown,5,1,Queen Victoria Syndrome,7.4,4009,2022-11-09
The Crown,5,2,The System,7.6,3426,2022-11-09
The Crown,5,3,Mou Mou,8.4,4349,2022-11-09
The Crown,5,4,Annus Horribilis,7.9,3372,2022-11-09
The Crown,5,5,The Way Ahead,7.6,3136,2022-10-09
The Crown,5,6,Ipatiev House,7.9,3278,2022-11-09
The Crown,5,7,No Woman's Land,7.5,2900,2022-10-09
The Crown,5,8,Gunpowder,8.2,3065,2022-11-09
The Crown,5,9,Couple 31,7.8,2861,2023-11-09
The Crown,5,10,Decommissioned,7.3,2882,2022-11-09
The Crown,6,1,Persona Non Grata,7.8,2944,2023-11-16
The Crown,6,2,Two Photographs,7.8,2746,2023-11-16
The Crown,6,3,Dis-Moi Oui,8.1,3083,2023-11-16
The Crown,6,4,Aftermath,8.2,3296,2023-11-16
The Crown,6,5,Willsmania,7.6,2594,2023-12-14
The Crown,6,6,Ruritania,7.4,2433,2023-12-14
The Crown,6,7,Alma Mater,7.4,2385,2023-12-14
The Crown,6,8,Ritz,8.6,3267,2023-11-14
The Crown,6,9,Hope Street,8.0,2268,2023-12-14
The Crown,6,10,"Sleep, Dearie Sleep",9.0,3830,2023-12-14
Mr Inbetween,1,1,The Pee Pee Guy,7.6,1314,2018-10-01
Mr Inbetween,1,2,Unicorns Know Everybody's Name,7.7,1111,2018-09-25
Mr Inbetween,1,3,Captain Obvious,8.1,1106,2018-10-02
Mr Inbetween,1,4,On Behalf of Society,8.3,1079,2018-10-02
Mr Inbetween,1,5,Hard Worker,8.1,1039,2018-10-09
Mr Inbetween,1,6,Your Mum's Got a Strongbox,8.8,1278,2018-10-09
Mr Inbetween,2,1,Shoulda Tapped,8.0,988,2019-09-12
Mr Inbetween,2,2,Don't Be a Dickhead,8.3,977,2019-09-19
Mr Inbetween,2,3,I Came from Your Balls?,8.2,938,2019-09-26
Mr Inbetween,2,4,Monsters,8.8,1191,2019-10-03
Mr Inbetween,2,5,Can't Save You,8.3,953,2019-10-10
Mr Inbetween,2,6,Let Me Stop You There,7.9,878,2019-10-17
Mr Inbetween,2,7,Watch Out for Snakes,7.7,888,2019-10-24
Mr Inbetween,2,8,See You in Your Dreams,8.6,1008,2019-10-31
Mr Inbetween,2,9,Socks Are Important,9.5,1678,2019-11-07
Mr Inbetween,2,10,Nice Face,8.5,919,2019-11-14
Mr Inbetween,2,11,"There Rust, and Let Me Die",9.1,1349,2019-11-21
Mr Inbetween,3,1,Coulda Shoulda,8.6,931,2021-05-25
Mr Inbetween,3,2,Champ,8.0,809,2021-05-25
Mr Inbetween,3,3,All I Ever Wanted,7.6,776,2021-06-01
Mr Inbetween,3,4,Cut The Crap Princess,7.8,772,2021-06-08
Mr Inbetween,3,5,Before I Went To War,8.6,867,2021-06-15
Mr Inbetween,3,6,Ray Who?,8.2,793,2021-06-22
Mr Inbetween,3,7,I'm Your Girl,7.3,808,2021-06-29
Mr Inbetween,3,8,I'll See You Soon,8.7,909,2021-07-06
Mr Inbetween,3,9,I'm Not Leaving,9.2,1547,2021-07-13
It&apos;s a Sin,1,1,Episode #1.1,8.3,1621,2021-01-22
It&apos;s a Sin,1,2,Episode #1.2,8.5,1447,2021-01-22
It&apos;s a Sin,1,3,Episode #1.3,9.1,1583,2021-01-22
It&apos;s a Sin,1,4,Episode #1.4,8.8,1385,2021-01-22
It&apos;s a Sin,1,5,Episode #1.5,9.2,1634,2021-01-22
Daredevil,1,1,Into the Ring,8.4,17092,2015-04-10
Daredevil,1,2,Cut Man,8.9,16406,2015-04-10
Daredevil,1,3,Rabbit in a Snowstorm,8.3,13884,2015-04-10
Daredevil,1,4,In the Blood,8.6,13488,2015-04-10
Daredevil,1,5,World on Fire,8.7,13046,2015-04-10
Daredevil,1,6,Condemned,8.9,13317,2015-04-10
Daredevil,1,7,Stick,8.5,12871,2015-04-10
Daredevil,1,8,Shadows in the Glass,8.9,12968,2015-04-10
Daredevil,1,9,Speak of the Devil,9.1,13340,2015-04-10
Daredevil,1,10,Nelson v. Murdock,8.4,12360,2015-04-10
Daredevil,1,11,The Path of the Righteous,8.7,12209,2015-04-10
Daredevil,1,12,The Ones We Leave Behind,8.6,11898,2015-04-10
Daredevil,1,13,Daredevil,9.3,15385,2015-04-10
Daredevil,2,1,Bang,8.8,12706,2016-03-18
Daredevil,2,2,Dogs to a Gunfight,8.6,11391,2016-03-18
Daredevil,2,3,New York's Finest,9.4,14986,2016-03-18
Daredevil,2,4,Penny and Dime,9.4,14204,2016-03-18
Daredevil,2,5,Kinbaku,8.1,11753,2016-03-18
Daredevil,2,6,Regrets Only,8.5,10105,2016-03-18
Daredevil,2,7,Semper Fidelis,8.5,9987,2016-03-18
Daredevil,2,8,Guilty as Sin,9.0,10818,2016-03-18
Daredevil,2,9,Seven Minutes in Heaven,9.4,12776,2016-03-18
Daredevil,2,10,The Man in the Box,9.0,10428,2016-03-18
Daredevil,2,11,.380,8.7,9757,2016-03-18
Daredevil,2,12,The Dark at the End of the Tunnel,8.8,9991,2016-03-18
Daredevil,2,13,A Cold Day in Hell's Kitchen,9.1,11974,2016-03-18
Daredevil,3,1,Resurrection,8.2,9498,2018-10-19
Daredevil,3,2,Please,8.5,8910,2018-10-19
Daredevil,3,3,No Good Deed,8.4,8577,2018-10-19
Daredevil,3,4,Blindsided,9.5,14069,2018-10-19
Daredevil,3,5,The Perfect Game,8.8,9224,2018-10-19
Daredevil,3,6,The Devil You Know,9.5,11219,2018-10-19
Daredevil,3,7,Aftermath,8.7,8657,2018-10-19
Daredevil,3,8,Upstairs/Downstairs,9.0,8743,2018-10-19
Daredevil,3,9,Revelations,9.1,8717,2018-10-19
Daredevil,3,10,Karen,8.6,9355,2018-10-19
Daredevil,3,11,Reunion,9.1,8597,2018-10-19
Daredevil,3,12,One Last Shot,9.3,9283,2018-10-19
Daredevil,3,13,A New Napkin,9.6,13251,2018-10-19
Bron/Broen,1,1,Avsnitt 1,7.9,1670,2011-09-21
Bron/Broen,1,2,Avsnitt 2,7.8,1420,2011-09-28
Bron/Broen,1,3,Avsnitt 3,7.8,1322,2011-10-05
Bron/Broen,1,4,Avsnitt 4,7.9,1267,2011-10-12
Bron/Broen,1,5,Avsnitt 5,7.8,1231,2011-10-19
Bron/Broen,1,6,Avsnitt 6,7.9,1208,2011-10-26
Bron/Broen,1,7,Avsnitt 7,8.0,1210,2011-11-02
Bron/Broen,1,8,Avsnitt 8,8.1,1209,2011-11-09
Bron/Broen,1,9,Avsnitt 9,8.6,1327,2011-11-17
Bron/Broen,1,10,Avsnitt 10,8.6,1407,2011-11-23
Bron/Broen,2,1,Avsnitt 1,7.9,1163,2013-09-22
Bron/Broen,2,2,Avsnitt 2,7.7,1007,2013-09-29
Bron/Broen,2,3,Avsnitt 3,8.0,980,2013-10-06
Bron/Broen,2,4,Avsnitt 4,7.9,954,2013-10-13
Bron/Broen,2,5,Avsnitt 5,8.0,959,2013-10-20
Bron/Broen,2,6,Avsnitt 6,8.0,952,2013-10-27
Bron/Broen,2,7,Avsnitt 7,8.0,946,2013-11-03
Bron/Broen,2,8,Avsnitt 8,8.0,966,2013-11-10
Bron/Broen,2,9,Avsnitt 9,8.4,1002,2013-11-17
Bron/Broen,2,10,Avsnitt 10,8.8,1272,2013-11-24
Bron/Broen,3,1,Avsnitt 1,7.9,1082,2015-09-27
Bron/Broen,3,2,Avsnitt 2,7.9,932,2015-10-04
Bron/Broen,3,3,Avsnitt 3,7.9,901,2015-10-11
Bron/Broen,3,4,Avsnitt 4,8.0,901,2015-10-18
Bron/Broen,3,5,Avsnitt 5,8.0,873,2015-10-25
Bron/Broen,3,6,Avsnitt 6,8.1,890,2015-11-01
Bron/Broen,3,7,Avsnitt 7,8.1,876,2015-11-08
Bron/Broen,3,8,Avsnitt 8,8.3,876,2015-11-15
Bron/Broen,3,9,Avsnitt 9,8.3,865,2015-11-22
Bron/Broen,3,10,Avsnitt 10,8.7,1100,2015-11-29
Bron/Broen,4,1,Avsnitt 1,7.9,1047,2018-01-01
Bron/Broen,4,2,Avsnitt 2,7.8,869,2018-01-07
Bron/Broen,4,3,Avsnitt 3,7.9,839,2018-01-14
Bron/Broen,4,4,Avsnitt 4,8.0,824,2018-01-21
Bron/Broen,4,5,Avsnitt 5,8.0,826,2018-01-28
Bron/Broen,4,6,Avsnitt 6,8.3,842,2018-02-04
Bron/Broen,4,7,Avsnitt 7,8.6,877,2018-02-11
Bron/Broen,4,8,Avsnitt 8,9.0,1179,2018-02-18
Poirot,1,1,The Adventure of the Clapham Cook,7.6,2719,1989-01-08
Poirot,1,2,Murder in the Mews,7.4,2327,1989-01-15
Poirot,1,3,The Adventure of Johnnie Waverly,6.9,2177,1989-01-22
Poirot,1,4,Four and Twenty Blackbirds,7.2,2065,1989-01-29
Poirot,1,5,The Third Floor Flat,7.6,2169,1989-02-05
Poirot,1,6,Triangle at Rhodes,7.4,2227,1989-02-12
Poirot,1,7,Problem at Sea,7.3,2008,1989-02-19
Poirot,1,8,The Incredible Theft,7.1,1880,1989-02-26
Poirot,1,9,The King of Clubs,7.0,1893,1989-03-12
Poirot,1,10,The Dream,7.7,1975,1989-03-19
Poirot,2,1,Peril at End House,8.1,2554,1990-01-07
Poirot,2,2,The Veiled Lady,7.4,1857,1990-01-14
Poirot,2,3,The Lost Mine,7.3,1758,1990-01-21
Poirot,2,4,The Cornish Mystery,7.5,1809,1990-01-28
Poirot,2,5,The Disappearance of Mr. Davenheim,7.8,1851,1990-02-04
Poirot,2,6,Double Sin,7.5,1753,1990-02-11
Poirot,2,7,The Adventure of the Cheap Flat,7.4,1693,1990-02-18
Poirot,2,8,The Kidnapped Prime Minister,7.4,1661,1990-02-25
Poirot,2,9,The Adventure of the Western Star,7.2,1600,1990-03-04
Poirot,3,1,The Mysterious Affair at Styles,7.9,2544,1990-09-16
Poirot,3,2,How Does Your Garden Grow?,7.6,1706,1991-01-06
Poirot,3,3,The Million Dollar Bond Robbery,7.6,1618,1991-01-13
Poirot,3,4,The Plymouth Express,7.4,1589,1991-01-20
Poirot,3,5,Wasps' Nest,7.7,1698,1991-01-27
Poirot,3,6,The Tragedy at Marsdon Manor,7.6,1648,1991-02-03
Poirot,3,7,The Double Clue,7.3,1617,1991-02-10
Poirot,3,8,The Mystery of the Spanish Chest,7.6,1624,1991-02-17
Poirot,3,9,The Theft of the Royal Ruby,7.5,1607,1991-02-24
Poirot,3,10,The Affair at the Victory Ball,7.5,1564,1991-03-03
Poirot,3,11,The Mystery of Hunter's Lodge,7.5,1549,1991-03-10
Poirot,4,1,The ABC Murders,8.4,3060,1992-01-05
Poirot,4,2,Death in the Clouds,7.8,2246,1992-01-12
Poirot,4,3,"One, Two, Buckle My Shoe",7.7,2053,1992-01-19
Poirot,5,1,The Adventure of the Egyptian Tomb,7.6,1677,1993-01-17
Poirot,5,2,The Underdog,7.3,1488,1993-01-24
Poirot,5,3,The Yellow Iris,7.8,1699,1993-01-31
Poirot,5,4,The Case of the Missing Will,7.6,1562,1993-02-07
Poirot,5,5,The Adventure of the Italian Nobleman,7.4,1476,1993-02-14
Poirot,5,6,The Chocolate Box,8.2,1920,1993-02-21
Poirot,5,7,Dead Man's Mirror,7.7,1530,1993-02-28
Poirot,5,8,Jewel Robbery at the Grand Metropolitan,7.5,1491,1993-03-07
Poirot,6,1,Hercule Poirot's Christmas,8.0,2844,1994-12-25
Poirot,6,2,Hickory Dickory Dock,7.6,2262,1995-02-12
Poirot,6,3,Murder on the Links,7.8,2290,1996-02-11
Poirot,6,4,Dumb Witness,8.0,2280,1996-03-16
Poirot,7,1,The Murder of Roger Ackroyd,7.3,2658,2000-01-02
Poirot,7,2,Lord Edgware Dies,7.9,2375,2000-02-19
Poirot,8,1,Evil Under the Sun,8.0,2890,2001-04-20
Poirot,8,2,Murder in Mesopotamia,7.4,2473,2002-06-02
Poirot,9,1,Five Little Pigs,8.4,4388,2003-12-14
Poirot,9,2,Sad Cypress,8.0,2857,2003-12-26
Poirot,9,3,Death on the Nile,8.0,4440,2004-04-12
Poirot,9,4,The Hollow,7.7,2757,2004-04-26
Poirot,10,1,The Mystery of the Blue Train,7.5,2843,2005-12-11
Poirot,10,2,Cards on the Table,7.5,2614,2006-03-19
Poirot,10,3,After the Funeral,8.0,2764,2006-03-26
Poirot,10,4,Taken at the Flood,7.4,2195,2006-04-02
Poirot,11,1,Mrs McGinty's Dead,7.7,2236,2008-09-14
Poirot,11,2,Cat Among the Pigeons,7.9,2415,2008-09-21
Poirot,11,3,Third Girl,7.7,2238,2008-09-28
Poirot,11,4,Appointment with Death,7.5,2729,2009-12-25
Poirot,12,1,Three Act Tragedy,7.7,2386,2010-01-03
Poirot,12,2,Hallowe'en Party,7.8,2482,2010-10-27
Poirot,12,3,Murder on the Orient Express,8.0,5280,2010-07-11
Poirot,12,4,The Clocks,7.9,2398,2011-06-26
Poirot,13,1,Elephants Can Remember,8.0,2429,2013-06-09
Poirot,13,2,The Big Four,7.2,2177,2013-10-23
Poirot,13,3,Dead Man's Folly,7.9,2165,2013-10-30
Poirot,13,4,The Labours of Hercules,8.1,2414,2013-11-06
Poirot,13,5,Curtain: Poirot's Last Case,8.6,2752,2013-11-13
Primal,1,1,Spear and Fang,8.9,2147,2021-10-07
Primal,1,2,River of Snakes,8.1,1690,2019-10-08
Primal,1,3,A Cold Death,8.6,1630,2019-10-09
Primal,1,4,Terror Under the Blood Moon,8.7,1578,2019-10-10
Primal,1,5,Rage of the Ape-Men,9.2,1727,2019-10-11
Primal,1,6,Scent of Prey,8.7,1300,2020-10-04
Primal,1,7,Plague of Madness,8.7,1453,2020-10-11
Primal,1,8,Coven of the Damned,9.0,1432,2020-10-18
Primal,1,9,The Night Feeder,8.0,1202,2020-10-25
Primal,1,10,Slave of the Scorpion,9.1,1284,2020-11-01
Primal,2,1,Sea of Despair,8.5,1017,2022-07-22
Primal,2,2,Shadow of Fate,9.1,1110,2022-07-22
Primal,2,3,Dawn of Man,8.2,934,2022-07-29
Primal,2,4,The Red Mist,9.3,1256,2022-08-05
Primal,2,5,The Primal Theory,8.0,1191,2022-08-12
Primal,2,6,Vidarr,8.7,939,2022-08-19
Primal,2,7,The Colossaeus,8.7,890,2022-08-26
Primal,2,8,The Colossaeus: II,8.8,902,2022-09-02
Primal,2,9,The Colossaeus: III,9.0,901,2022-09-09
Primal,2,10,Echoes of Eternity,8.0,1042,2022-09-16
Primal,3,1,Episode #3.1,,0,
Hajime no Ippo,1,1,Hajime no ippo,8.1,522,2000-10-03
Hajime no Ippo,1,2,Doryoku no seika,7.8,381,2000-10-10
Hajime no Ippo,1,3,Ureshi namida,8.3,388,2000-10-17
Hajime no Ippo,1,4,Shado bokushingu,7.6,328,2000-10-24
Hajime no Ippo,1,5,Three months for the counter,7.8,319,2000-10-31
Hajime no Ippo,1,6,Saisen no gongu,8.6,356,2000-11-07
Hajime no Ippo,1,7,1 cm no hakairyoku,8.8,378,2000-11-14
Hajime no Ippo,1,8,Promise to Meet Again,7.9,299,2000-11-21
Hajime no Ippo,1,9,C Class License,7.7,276,2000-11-28
Hajime no Ippo,1,10,Debut Match!,7.6,275,2000-12-05
Hajime no Ippo,1,11,Obsession for Victory,8.2,291,2000-12-12
Hajime no Ippo,1,12,Becoming a Bully's Buddy,8.0,270,2000-12-19
Hajime no Ippo,1,13,The Eastern Japan Rookie Championship Tournament Begins,7.7,260,2000-12-26
Hajime no Ippo,1,14,Powerful Arms! Hooks vs. Uppercut!,8.0,258,2001-01-09
Hajime no Ippo,1,15,Test of Endurance,8.5,300,2001-01-16
Hajime no Ippo,1,16,Anticipating a Fierce Fight,7.2,247,2001-01-23
Hajime no Ippo,1,17,Ippo on the Beach,7.5,252,2001-01-30
Hajime no Ippo,1,18,Clinch,7.5,231,2001-02-06
Hajime no Ippo,1,19,Dream of a KO,8.2,252,2001-02-13
Hajime no Ippo,1,20,Shotgun's Menace,8.0,244,2001-02-20
Hajime no Ippo,1,21,The Way to Capture a Prodigy,7.9,230,2001-02-27
Hajime no Ippo,1,22,Forward! Forward!!,8.4,259,2001-03-06
Hajime no Ippo,1,23,The Other Semi-Final,8.3,236,2001-03-13
Hajime no Ippo,1,24,To the Promised Place...,9.0,331,2001-03-20
Hajime no Ippo,1,25,"Grudges, Sorrows & Dreams",7.7,219,2001-03-27
Hajime no Ippo,1,26,The Battle for Distance,8.0,224,2001-04-03
Hajime no Ippo,1,27,Death Match,8.8,264,2001-04-10
Hajime no Ippo,1,28,Victory or Defeat,8.7,261,2001-04-17
Hajime no Ippo,1,29,Rocky of Naniwa,7.9,217,2001-04-24
Hajime no Ippo,1,30,To Enemy Ground,7.6,210,2001-05-01
Hajime no Ippo,1,31,Traces of Intense Battles,5.2,186,2001-05-08
Hajime no Ippo,1,32,Throw Your Right!,8.0,221,2001-05-15
Hajime no Ippo,1,33,Smash Force,8.4,229,2001-05-22
Hajime no Ippo,1,34,The Rookie King,8.9,335,2001-05-29
Hajime no Ippo,1,35,The Counting Journey,7.5,204,2001-06-05
Hajime no Ippo,1,36,The Champ and I,7.6,203,2001-06-12
Hajime no Ippo,1,37,A Thing to Strive For,7.7,202,2001-06-19
Hajime no Ippo,1,38,Two Rookies of the Year,7.9,211,2001-06-27
Hajime no Ippo,1,39,Challenge in a Foreign Land,7.5,216,2001-07-04
Hajime no Ippo,1,40,A Counter to Surpass All Counters,8.3,234,2001-07-11
Hajime no Ippo,1,41,Barf-michi's Big Fight,7.8,200,2001-07-18
Hajime no Ippo,1,42,Sharing a Dream,8.6,278,2001-07-25
Hajime no Ippo,1,43,The Speed Star,7.7,195,2001-08-01
Hajime no Ippo,1,44,Blind Spot in the Ring,8.1,197,2001-08-08
Hajime no Ippo,1,45,The White Fangs of the Wolf,8.6,238,2001-08-15
Hajime no Ippo,1,46,Be the Gazelle,8.2,194,2001-08-22
Hajime no Ippo,1,47,The Fighting Spirit Within,7.8,190,2001-08-29
Hajime no Ippo,1,48,The Red Wolf,8.3,205,2001-09-05
Hajime no Ippo,1,49,The Courage to Believe,8.8,233,2001-09-19
Hajime no Ippo,1,50,Something to Convey,9.1,338,2001-09-26
Blackadder II,1,1,Bells,8.3,1355,1986-01-09
Blackadder II,1,2,Head,8.3,1211,1986-01-16
Blackadder II,1,3,Potato,8.2,1191,1986-01-23
Blackadder II,1,4,Money,8.0,1891,1986-02-05
Blackadder II,1,5,Beer,8.5,1210,1986-02-13
Blackadder II,1,6,Chains,8.2,1105,1986-02-20
Lonesome Dove,1,1,Leaving,8.1,669,1989-02-05
Lonesome Dove,1,2,On the Trail,8.5,606,1989-02-06
Lonesome Dove,1,3,The Plains,8.6,596,1989-02-07
Lonesome Dove,1,4,Return,8.7,615,1989-02-08
Mindhunter,1,1,Episode #1.1,7.8,9878,2017-10-13
Mindhunter,1,2,Episode #1.2,8.5,8748,2017-10-13
Mindhunter,1,3,Episode #1.3,8.2,7820,2017-10-13
Mindhunter,1,4,Episode #1.4,8.2,7404,2017-10-13
Mindhunter,1,5,Episode #1.5,8.5,7473,2017-10-13
Mindhunter,1,6,Episode #1.6,7.8,6942,2017-10-13
Mindhunter,1,7,Episode #1.7,8.2,6828,2017-10-13
Mindhunter,1,8,Episode #1.8,8.1,6734,2017-10-13
Mindhunter,1,9,Episode #1.9,8.5,6903,2017-10-13
Mindhunter,1,10,Episode #1.10,9.1,8697,2017-10-13
Mindhunter,2,1,Episode #2.1,8.1,6624,2019-08-16
Mindhunter,2,2,Episode #2.2,8.6,6309,2019-08-16
Mindhunter,2,3,Episode #2.3,8.2,5936,2019-08-16
Mindhunter,2,4,Episode #2.4,8.5,5968,2019-08-16
Mindhunter,2,5,Episode #2.5,8.9,6823,2019-08-16
Mindhunter,2,6,Episode #2.6,8.1,5379,2019-08-16
Mindhunter,2,7,Episode #2.7,8.1,5318,2019-08-16
Mindhunter,2,8,Episode #2.8,8.5,5362,2019-08-16
Mindhunter,2,9,Episode #2.9,8.7,6299,2019-08-16
Shogun,1,1,Anjin,8.4,14703,2024-02-27
Shogun,1,2,Servants of Two Masters,8.8,13820,2024-02-27
Shogun,1,3,Tomorrow Is Tomorrow,8.7,12197,2024-03-05
Shogun,1,4,The Eightfold Fence,8.9,11458,2024-03-12
Shogun,1,5,Broken to the Fist,8.7,10395,2024-03-19
Shogun,1,6,Ladies of the Willow World,8.0,9443,2024-03-26
Shogun,1,7,A Stick of Time,8.3,9124,2024-04-02
Shogun,1,8,The Abyss of Life,8.8,10221,2024-04-09
Shogun,1,9,Crimson Sky,9.4,12816,2024-04-16
Shogun,1,10,A Dream of a Dream,8.5,10484,2024-04-23
Shogun,2,1,Episode #2.1,,0,
Shogun,3,1,Episode #3.1,,0,
Mr. Bean,1,1,Mr. Bean,8.8,2720,1990-01-01
Mr. Bean,1,2,The Return of Mr. Bean,8.7,2273,1990-11-05
Mr. Bean,1,3,The Curse of Mr. Bean,8.7,2236,1991-01-01
Mr. Bean,1,4,Mr. Bean Goes to Town,8.2,3222,1991-10-15
Mr. Bean,1,5,The Trouble with Mr. Bean,8.6,2029,1992-01-01
Mr. Bean,1,6,Mr. Bean Rides Again,8.5,1911,1992-02-17
Mr. Bean,1,7,Merry Christmas Mr Bean,8.9,3011,1992-12-29
Mr. Bean,1,8,Mr. Bean in Room 426,8.6,1965,1993-02-17
Mr. Bean,1,9,Do-It-Yourself Mr. Bean,8.9,2048,1994-01-10
Mr. Bean,1,10,"Mind the Baby, Mr. Bean",8.3,1849,1994-04-25
Mr. Bean,1,11,Back to School Mr. Bean,8.5,1826,1994-10-26
Mr. Bean,1,12,"Tee Off, Mr. Bean",8.4,1796,1995-09-20
Mr. Bean,1,13,Goodnight Mr. Bean,8.5,1828,1995-10-31
Mr. Bean,1,14,Hair by Mr. Bean of London,8.5,1769,1995-11-15
Mr. Bean,1,15,The Best Bits of Mr. Bean,8.3,1664,1995-12-15
The Return of Sherlock Holmes,1,1,The Empty House,8.1,1082,1986-07-09
The Return of Sherlock Holmes,1,2,The Priory School,8.0,1035,1986-07-16
The Return of Sherlock Holmes,1,3,The Second Stain,8.1,1046,1986-07-23
The Return of Sherlock Holmes,1,4,The Musgrave Ritual,8.3,1095,1986-07-30
The Return of Sherlock Holmes,1,5,The Abbey Grange,7.9,1036,1986-08-06
The Return of Sherlock Holmes,1,6,The Man with the Twisted Lip,7.9,984,1986-08-13
The Return of Sherlock Holmes,1,7,The Six Napoleons,8.0,1063,1986-08-20
The Return of Sherlock Holmes,1,8,The Sign of Four,8.0,170,1987-12-29
The Return of Sherlock Holmes,2,1,The Devil's Foot,8.1,1001,1988-04-06
The Return of Sherlock Holmes,2,2,Silver Blaze,7.8,936,1988-04-13
The Return of Sherlock Holmes,2,3,Wisteria Lodge,7.3,910,1988-04-20
The Return of Sherlock Holmes,2,4,The Bruce Partington Plans,8.0,895,1988-04-27
The Return of Sherlock Holmes,2,5,The Hound of the Baskervilles,8.3,160,1988-08-31
Sarangeui bulsachak,1,1,Episode #1.1,7.8,951,2019-12-14
Sarangeui bulsachak,1,2,Episode #1.2,8.3,809,2019-12-15
Sarangeui bulsachak,1,3,Episode #1.3,8.4,764,2019-12-21
Sarangeui bulsachak,1,4,Episode #1.4,8.4,745,2019-12-22
Sarangeui bulsachak,1,5,Episode #1.5,8.6,719,2019-12-28
Sarangeui bulsachak,1,6,Episode #1.6,8.6,724,2019-12-29
Sarangeui bulsachak,1,7,Episode #1.7,8.7,731,2020-01-11
Sarangeui bulsachak,1,8,Episode #1.8,8.7,714,2020-01-12
Sarangeui bulsachak,1,9,Episode #1.9,9.2,882,2020-01-18
Sarangeui bulsachak,1,10,Episode #1.10,8.9,793,2020-01-19
Sarangeui bulsachak,1,11,Episode #1.11,8.6,682,2020-02-01
Sarangeui bulsachak,1,12,Episode #1.12,8.9,728,2020-02-02
Sarangeui bulsachak,1,13,Episode #1.13,8.9,698,2020-02-08
Sarangeui bulsachak,1,14,Episode #1.14,8.7,661,2020-02-09
Sarangeui bulsachak,1,15,Episode #1.15,8.8,676,2020-02-15
Sarangeui bulsachak,1,16,Episode #1.16,8.7,769,2020-02-16
The Offer,1,1,A Seat at the Table,8.2,1935,2022-04-28
The Offer,1,2,Warning Shots,8.2,1645,2022-04-28
The Offer,1,3,Fade In,8.3,1562,2022-04-28
The Offer,1,4,The Right Shade of Yellow,8.5,1527,2022-05-05
The Offer,1,5,Kiss the Ring,8.5,1505,2022-05-12
The Offer,1,6,A Stand Up Guy,8.5,1463,2022-05-19
The Offer,1,7,Mr. Producer,8.7,1465,2022-05-26
The Offer,1,8,Crossing That Line,8.3,1362,2022-06-02
The Offer,1,9,It's Who We Are,8.9,1513,2022-06-09
The Offer,1,10,Brains and Balls,8.7,1296,2022-06-16
The Penguin,1,1,After Hours,8.7,29606,2024-09-19
The Penguin,1,2,Inside Man,8.4,22921,2024-09-29
The Penguin,1,3,Bliss,8.9,23275,2024-10-06
The Penguin,1,4,Cent'Anni,9.4,28924,2024-10-13
The Penguin,1,5,Homecoming,8.6,19618,2024-10-20
The Penguin,1,6,Gold Summit,8.5,17421,2024-10-27
The Penguin,1,7,Top Hat,8.9,17556,2024-11-03
The Penguin,1,8,A Great or Little Thing,9.5,26122,2024-11-10
Haikyû!!,1,1,The End & the Beginning,8.1,1117,2014-04-06
Haikyû!!,1,2,Karasuno High School Volleyball Club,7.7,954,2014-04-13
Haikyû!!,1,3,The Formidable Ally,8.0,915,2014-04-20
Haikyû!!,1,4,The View from the Summit,8.5,939,2014-04-27
Haikyû!!,1,5,A Coward's Anxiety,7.8,832,2014-05-04
Haikyû!!,1,6,An Interesting Team,8.2,811,2014-05-11
Haikyû!!,1,7,Versus the Great King,8.5,840,2014-05-18
Haikyû!!,1,8,"He Who Is Called ""Ace""",8.2,800,2014-05-25
Haikyû!!,1,9,A Toss to the Ace,8.6,882,2014-06-01
